"ï»¿""Restaurant name""",Order ID,Platform Key,Restaurant ID,Order status,Created at,Accepted at,Cancelled at,Cancellation reason,Cancellation owner,Rejected at,Rejection reason,Dispatched at,Delivered at,Address,Transport type,Payment type,Food value,Delivery Fee,Items,Preorder,Billable Status
Polland Hopia - Mayon Street,w9vv-7jz6,FP_PH,w9vv,Delivered,21/07/20 16:04,21/07/20 16:06,,,,,,21/07/20 16:09,21/07/20 16:25,Caloocan,Platform delivery,Cash,210,0,"1 Polland Hopia Pork (Baboy) | 4 pieces, 1 Polland Hopia Ube | 4 pieces, 1 Polland Hopia Black Mongo | 4 pieces, 1 Polland Hopia Mongo Special | 4 pieces",no,yes
Polland Hopia - Mayon Street,w9vv-yaqw,FP_PH,w9vv,Delivered,21/07/20 16:51,21/07/20 16:53,,,,,,21/07/20 17:00,21/07/20 17:20,Manila,Platform delivery,Online,380,0,"2 Polland Hopia Black Mongo | 4 pieces, 2 Polland Hopia Mongo Special | 4 pieces, 1 Polland Hopia Pork (Baboy) | 4 pieces, 1 Polland Hopia Pinya | 6 pieces, 1 Polland Hopia Kundol | 6 pieces",no,yes
Polland Hopia - Mayon Street,w9vv-29qm,FP_PH,w9vv,Delivered,22/07/20 11:59,22/07/20 12:01,,,,,,22/07/20 12:09,22/07/20 12:17,Quezon City,Platform delivery,Online,350,0,"1 Polland Frozen Siomai | 12 pieces, 1 Polland Fresh Lumpia | 1 piece",no,yes
Polland Hopia - Mayon Street,w9vv-nonp,FP_PH,w9vv,Delivered,22/07/20 12:49,22/07/20 12:50,,,,,,22/07/20 13:00,22/07/20 13:17,Caloocan,Platform delivery,Cash,570,0,"4 Polland Hopia Black Mongo | 4 pieces, 5 Polland Hopia Mongo Special | 4 pieces, 2 Polland Hopia Pork (Baboy) | 4 pieces",no,yes
Polland Hopia - Mayon Street,w9vv-uccu,FP_PH,w9vv,Delivered,22/07/20 12:57,22/07/20 12:59,,,,,,22/07/20 13:08,22/07/20 13:23,Manila,Platform delivery,Cash,310,0,"2 Polland Fresh Lumpia | 1 piece, 1 Polland Hopia Ube Langka | 4 pieces, 1 Polland Hopia Hapon | 4 pieces",no,yes
Polland Hopia - Mayon Street,w9vv-if3u,FP_PH,w9vv,Delivered,22/07/20 13:31,22/07/20 13:34,,,,,,22/07/20 13:42,22/07/20 13:55,Manila,Platform delivery,Online,420,0,"1 Polland Frozen Siomai | 12 pieces, 1 Polland Hopia Ube Langka | 4 pieces, 1 Polland Hopia Kundol | 6 pieces, 1 Polland Hopia Dice | 6 pieces",no,yes
Polland Hopia - Mayon Street,w9vv-gwmu,FP_PH,w9vv,Delivered,22/07/20 16:14,22/07/20 16:16,,,,,,22/07/20 16:35,22/07/20 16:40,Quezon City,Platform delivery,Online,380,0,"1 Polland Fresh Lumpia | 1 piece, 2 Polland Hopia Black Mongo | 4 pieces, 1 Polland Hopia Mahu Regular | 4 pieces, 1 Polland Hopia Pork (Baboy) | 4 pieces",no,yes
Polland Hopia - Mayon Street,w9vv-dnnl,FP_PH,w9vv,Delivered,22/07/20 16:20,22/07/20 16:22,,,,,,22/07/20 16:30,22/07/20 17:01,Quezon City,Platform delivery,Online,300,0,"1 Polland Hopia Hapon | 4 pieces, 2 Polland Fresh Lumpia | 1 piece, 1 Polland Hopia Ube | 4 pieces",no,yes
Polland Hopia - Mayon Street,w9vv-l730,FP_PH,w9vv,Delivered,22/07/20 16:27,22/07/20 16:31,,,,,,22/07/20 16:37,22/07/20 17:05,Quezon City,Platform delivery,Online,280,0,"1 Polland Hopia Kundol | 6 pieces, 1 Polland Hopia Ube Langka | 4 pieces, 1 Polland Hopia Pork (Baboy) | 4 pieces, 1 Polland Kuchai Empanada | 6 pieces, 1 Polland Hopia Hapon | 4 pieces",no,yes
Polland Hopia - Mayon Street,w9vv-ffwo,FP_PH,w9vv,Delivered,22/07/20 16:48,22/07/20 16:51,,,,,,22/07/20 17:04,22/07/20 17:15,Quezon City,Platform delivery,Online,280,0,"1 Polland Hopia Mahu Regular | 4 pieces, 1 Polland Mooncake Black Monggo with 1 Egg | 1 piece",no,yes
Polland Hopia - Mayon Street,w9vv-x1vx,FP_PH,w9vv,Delivered,23/07/20 8:11,23/07/20 9:37,,,,,,23/07/20 9:48,23/07/20 10:02,Manila,Platform delivery,Cash,550,0,"2 Polland Fresh Lumpia | 1 piece, 1 Polland Hopia Mongo Special | 4 pieces, 1 Polland Hopia Ube | 4 pieces, 1 Polland Hopia Black Mongo | 4 pieces, 1 Polland Hopia Dice | 6 pieces, 1 Polland Hopia Hapon | 4 pieces, 1 Polland Tikoy Small White | 1 piece",yes,yes
Polland Hopia - Mayon Street,w9vv-7ew6,FP_PH,w9vv,Delivered,23/07/20 8:19,23/07/20 8:23,,,,,,23/07/20 8:30,23/07/20 8:37,Quezon City,Platform delivery,Online,300,0,"2 Polland Kuchai Empanada | 6 pieces, 2 Polland Hopia Dice | 6 pieces, 1 Polland Hopia Black Mongo | 4 pieces, 1 Polland Hopia Ube | 4 pieces",no,yes
Polland Hopia - Mayon Street,w9vv-o2v8,FP_PH,w9vv,Delivered,23/07/20 8:20,23/07/20 8:28,,,,,,23/07/20 8:31,23/07/20 8:41,Quezon City,Platform delivery,Cash,100,0,"1 Polland Hopia Mongo Special | 4 pieces, 1 Polland Hopia Dice | 6 pieces",no,yes
Polland Hopia - Mayon Street,w9vv-a89w,FP_PH,w9vv,Delivered,23/07/20 10:32,23/07/20 10:34,,,,,,23/07/20 10:47,23/07/20 11:04,Manila,Platform delivery,Online,610,0,"1 Polland Machang | 1 piece, 2 Polland Fresh Lumpia | 1 piece, 3 Polland Kuchai Empanada | 6 pieces, 1 Polland Hopia Ube | 4 pieces, 1 Polland Hopia Mongo Special | 4 pieces, 1 Polland Hopia Pork (Baboy) | 4 pieces",no,yes
Polland Hopia - Mayon Street,w9vv-6e1j,FP_PH,w9vv,Delivered,23/07/20 10:50,23/07/20 10:51,,,,,,23/07/20 10:59,23/07/20 11:12,Quezon City,Platform delivery,Cash,370,0,"1 Polland Fresh Lumpia | 1 piece, 2 Polland Hopia Black Mongo | 4 pieces, 2 Polland Hopia Ube Langka | 4 pieces, 1 Polland Hopia Ube | 4 pieces",no,yes
Polland Hopia - Mayon Street,w9vv-ru8y,FP_PH,w9vv,Delivered,23/07/20 15:07,23/07/20 15:09,,,,,,23/07/20 15:13,23/07/20 15:17,Quezon City,Platform delivery,Cash,400,0,"3 Polland Machang | 1 piece, 2 Polland Hopia Mongo Special | 4 pieces",no,yes
Polland Hopia - Mayon Street,w9vv-c9tm,FP_PH,w9vv,Delivered,23/07/20 16:47,23/07/20 16:49,,,,,,23/07/20 16:54,23/07/20 17:09,Caloocan,Platform delivery,Cash,120,0,"1 Polland Hopia Pork (Baboy) | 4 pieces, 1 Polland Hopia Ube Langka | 4 pieces",no,yes
Polland Hopia - Mayon Street,w9vv-o3iu,FP_PH,w9vv,Delivered,23/07/20 16:50,23/07/20 16:52,,,,,,23/07/20 17:09,23/07/20 17:29,Caloocan,Platform delivery,Online,380,0,"1 Polland Hopia Dice | 6 pieces, 1 Polland Hopia Hapon | 4 pieces, 1 Polland Hopia Black Mongo | 4 pieces, 1 Polland Hopia Ube Langka | 4 pieces, 2 Polland Hopia Pork (Baboy) | 4 pieces, 1 Polland Hopia Mongo Special | 4 pieces",no,yes
